source,target
Kanou,狩野
Yoshitoshi,芳年
Bosch,博斯
Venipi,维尼皮
Vitruvius,维特鲁威
Kshama,柯莎玛
Calcerius,卡塞留斯
Okikuni,兴邦
Yu Huangyi,虞黄衣
Quiauhquetzal,葵娅乌赫奎扎尔
Diotima,狄奥提玛
Tosalis,托萨利斯
Parmenides,巴曼尼德
Vindia,薇恩狄娅
Mr. Gray Cat,「灰猫先生」
Miss Tabby,橘猫子姐
Congshen,丛沈
Flins,菲林斯
Linnea,莉奈娅
Lumi,露米
Alzbeta,爱兹别妲
Voitto,沃伊图
Czeslawa,捷什菈娃
Slawomir,泽拉沃米尔
Ilze,伊尔洁
Iku-Turso,伊库·图尔萨
Fluffy,绒绒大王花
Mamala,玛玛拉
Reed Miller XIII,雷德·米勒十三世
Celaeno,刻莱诺
Haemus,赫姆斯
Viliana,薇莉亚娜
Gorynishche,戈里尼什青
Plume of the Fall Watcher,堕天的落羽
Domain Keeper,领域守护者
Churldric,丘尔德里克
Maha Vasudevayaputra,摩诃婆苏提婆耶弗太子
Watcher: Fallen Vigil,守望者·堕天
Sugar Sculpture: Linnea,糖雕·莉奈娅
Harbor Fish Burger,海港鱼鱼堡
Iridescence Under the Tree's Shade,树荫下的虹彩
Windrest Flower,风息花
Memory Factors,摹忆因子
Anemo Treasure Compass,风之寻宝罗盘
Segment-domain Treasure Compass,切片轄域寻宝罗盘
Snow Fox,雪狐
Vila,风仙
Domovoy,矮灵
Leshy,树妖
Volkodlak,兽怪
Snegovik,雪精
Jack Frost,霜精
Lantern Fae,灯之妖精
Sirens,海妖
Augury Birds,谶鸟
Millhaven,风车镇
Old Sanatorium Site,疗养院旧址
Windrest Peak,风息山
Segument-Domain Tau,切片轄域·陶
Temple of Space,空之神殿
Path of the Forgotten World,遗世之路
Pillar Haill Central Zone,柱殿中央区
Mahavaipulya Chamber,大方广
Desert Pavilion,沙上楼阁
Luyang Academy,麓阳书院
Apathic Interval,无想之间
Cage of Suchness,非有非无之笼
Curatorium of Secrets,秘闻馆
Alcor-class No.2,死兆星级二号舰
Fruity Order,秩序水果团
The Golden Beagle,黄金猪犬号
Forest Boar Pauses for the Bloom,山有林猪粗嗅花
Winds Beneath the Tower of Silence,寂静之塔下的风向
Magic Mountain Temple of Space,魔山
The Wind Has Ceased,风停了
Paradise,天堂
A Day the Grand Temple Inscribed with Ages,圣殿的一日春秋
Long Live Life,生命万岁
Unofficial Chronicle of the Desert Pavilion,「沙上楼阁」稗记
Counterfeit Classics,赝作古典
Hell,地狱
Lion's Celerity,狮子奋迅
Judgment,审判
The Final Judgment,最后的审判
Alcyon Chapter,启喻鸟之章
Etherwing Moth,空羽蛾
Jeweled Flaming Hilt,宝饰的焰剑
Fractured Flaming Hilt,残失的焰剑
Faded Flaming Hilt,失色的焰剑
Golden Frostbound Oath,霜结的誓金枝
Surveying & Mapping Studies,測定摹绘研学
Where Waves Meet the Reef,礁与浪的相逢
Fire Support Assault,火力遥援突击战
Thwack'n Smack Defense Bots,劈里啪啦守卫团
Pneumoisia Barrage Countermeasure,芒荒彈雨响應法
A Commission From the Curatorium of Secrets,来自秘闻馆的委託
Elowen,埃洛雯
Tres,特雷斯
Raya,阿娅
Neb,阿诺
Ati,阿提
Ashvapati,阿梵波谛
Lakkaberry (character),白灵果(角色)
"""Ruthless Calla Lily""",残酷嘟嘟莲
Fassbender,法斯宾德
Wislawa,维斯菈娃
Nkrumah,恩胡马
Gongmiao,龚妙
Huoxiang,霍香
Zhiyao,志遥
Fengyun,丰运
Stone Stool,石墩儿
Seahawk,海鷹
Crimson Staff,赤红一杵
Sightseeing With Friends,灵蕈旅记
Operation Stronghold Defense,据点防卫总动员
Marine,玛因
Blue Bolt,青霆
Sproutie,洋葱尾巴
Jacques,杰克(枫丹)
Diona Kätzlein,迪奥娜·凯茨莱茵
Cyrus(Mondstadt),塞琉斯
Margaret,玛格丽特
Ellin,艾琳
Timmie,提米
Ella Musk,艾拉·马斯克
Dr. Livingstone,利文斯通博士
Dr. Edith,艾迪丝博士
Huffman Schmidt,霍夫曼·施密特
Reckless Pallad,冒失的帕拉德
Wagner,瓦格纳
Schulz,舒茨
Glory,葛罗丽
Godwin,古德温
Nantuck,楠塔克
Marjorie,玛乔丽
Sansa,莎莎
Harry,哈里
Vind,芬德
Lorgar,洛伽
Marla,玛拉
Marvin,玛文
Sharp,锋
Doolan,杜兰
Patchi the Curious,好奇的帕琪
Chloris,克罗丽丝
Lynn,琳
Ematol,艾玛托
Phonia,方妮雅
Sage(Mondstadt),萨基
Rosemary,罗斯玛丽
Parsley,帕斯里
Swan,斯万
Lawrence,劳伦斯
Ulfr,乌尔法
Mtwa,穆托瓦
Jones,琼斯
Arthur,阿瑟尔
Guy,盖伊
Flora,芙萝拉
Donna,唐娜
Prince,「小王子」
Shuyun,恕筠
Makri,马克利
Nanaya Yuumi,七夜由美
Gary,伽禄
Atra,阿特拉
Belén,贝莲
Sara,莎拉
Eury,优律
Norma,诺玛
Blanche(Mondstadt),布兰琪
Alfry,艾尔菲
Mikhail,米哈伊尔
Lyudmila,柳德米拉
Anna,安娜
Anthony,安东尼
Luke,卢克
Herman,赫尔曼
Athos(Mondstadt),阿托
Porthos,波尔托
Wyratt,威拉格
Wood,伍德
Vile,薇尔
Grace,葛瑞丝
Susie,苏西
Monroe,门罗
Sayid,萨义德
Aramis,阿拉米
Otto,奥特
Albert,艾伯特
Miles,麦尔斯
Charles,查尔斯
Six-Fingered José,六指乔瑟
Quinn,昆恩
Helen,海伦
Beatrice,贝雅特丽奇
Nimrod,宁禄
Xi'er,喜儿
Shiliu,石榴
Jack,杰克(蒙德)
Will,小威
Jill,小吉
Mack,麦克
Hopkins the Marvelous,神奇的霍普金斯
Old Finch,老芬奇
Jotun,约顿
Allan,艾伦
Olaf,奥拉夫
Brook,布洛克
Pepe,佩佩
Myweiss,梅薇丝
Farrah,法拉
Wyatt,怀尔德
Ross the Quick,快腿罗斯
Ernest,恩内斯特
Connor,康纳
Moco,摩可
Hillie,海莉
Tunner,特纳
Elzer,埃泽
Stevens,史蒂文斯
Iris(Mondstadt),玉霞
Harris,哈里斯
Joserf,乔瑟夫
Joel,乔尔
Manly Jack,男子汉杰克
Pavel,帕维尔
Cyrus(Sumeru),居勒什
Floral Whisper,花语
Mondstadt General Goods,蒙德百貨
Rostam,鲁斯坦
Wolf Pup,幼狼
Arundolyn,艾伦德林
Lion of Light,光之獅
Lohen,洛恩
Roland,罗兰
White Knight,純白骑士
Bloodstained Knight,血染黑的骑士
Virtanen,沃尔塔宁
Vytautas,维道塔什
Elixir of the Heretic,异端的瓶剂
Mask of the Virtuous Doctor,医的假面
Madman's Restraint,狂人的约束
Remnant of the Dreadwing,魇翼枯骸
Prismatic Severed Tail,棱光的断尾
Radiant Moongecko,蕴光月守宫
Golden-Tempered Jade,淬金冷玉
Hearty Indulgence,「酣畅」
A letter Carried by the Wind,由风捎来的信
Varka's Secret Stash of Cash,法尔伽的私房钱
Lupus Majoris Chapter,天狼之章
Gest of the Mighty Wolf,狼的武功歌
Phantasmal Gift: Star Omen,幻礼·星兆
Travelers' Tales: Moongaze Chapter,游逸旅闻·望月之章
"Homeward, He Who Caught the Wind",捕风的归客
Echoes of Memory,错忆寻迹
Favonius Falcon's Recon Log,西风迅鷹侦战录
A Chat Over Fine Drinks,闲叙邀佳酌
Lionfang's Radiant Onslaught,狮牙辉影疾斗
Eija,耶嘉
Vesper,灰郁香
Hedwig,赫得蔚格
Glenfidia,格兰菲狄
Horken,霍肯
Valerina,瓦乐瑞娜
Helene,伊莲
Dunkhas,敦克哈斯
Elishka,埃利什卡
Dandy,丹迪
Madame Ping,萍姥姥
Uncle Tian,天叔
Wang Ping'an,王平安
Starsnatcher,掇星攫辰天君
Chef Mao,卯师傅
Bao'er,宝儿
Verr Goldet,菲尔戈黛特
Huai'an,淮安
Smiley Yanxiao,言笑
Jiangxue,江雪
Jiawei,嘉玮
Ying'er,莺儿
Shitou,石头
Lan,岚姐
"Hanfeng, ""Cold Blade""",寒锋
Master Zhang,老章
Jifang,纪芳
Tea Master Liu Su,茶博士刘苏
Fan Er'ye,范二爷
Soraya,索拉雅
Jinwu,瑾武
Yuehui,玥辉
Muning,沐宁
Zhiqiong,志璇
Taliesin,塔列辛
Khedive Pursina,海迪夫·普尔希纳
Clitopho,克里托夫
Uncle He,何爷
Zhihu,志华
Gou San'er,狗三儿
Linling,霖铃
Captain Wu,吴船长
Degui,德贵
Zhiruo,芷若
Su Er'niang,苏二娘
Freki,弗莱琪
Geri,杰里
Chen the Sharp,快刀陈
Iron Tongue Tian,田铁嘴
Dongsheng,东升
Granny Shan,阿山婆
Tai,阿泰
Qian,乾子
Chuyi,楚仪
The Halberd,戟
The Fang,牙
Ferrylady,摆渡人
Ixkotii,伊柯蒂
Changshun,长顺
Yi Zhu,一柱
Yi Xian,一弦
Tiantian,甜甜
Linlang,琳琅
Qiming,绮命
Nadia,娜蒂亚
Vlad,弗拉德
Ekaterina,叶卡捷琳娜
Andrei,安德烈
Xingxi,星稀
Xu,阿旭
Licai,璃彩
Yueshu,月疏
Xiuhua,秀华
Ivanovich,伊凡诺维奇
Bolai,博来
Bu'yun,步云
Gentry De'an,德安公
Huixin,慧心
Herbalist Gui,阿桂
Shuzhi,淑之
Uncle Liu,老刘伯
Bluffy,阿直
Mr. Zhu,朱老板
Dummy,阿笨
Granny Ruoxin,若心
Ms. Bai,小白
Yundan,云淡
Uncle Ghast,鬼伯伯
Little Yi,阿义
Master Lu,路爷
Little Liu,小六
Little You,阿佑
Pan Guan'er,判官儿
Pops Zhou,老周叔
Aunt Qiao,乔姨
Jianqiu,鉴秋
Huachu,花初
Sleepy,大迷糊
Qinglian,青莲
Zhuyu,茱萸
Hui,辉子
Strong,大壮
Hulu,葫芦
Yu,小羽
Yuhua,毓华
Madame Qin,秦夫人
Master Hui,辉少
Xi the Maid,小茜
Huangshan,黄衫
Qingzhou,清昼
Zhen Qiang,甄强
Little Yue,小月
Furong,芙蓉
Huixing,绘星
Mora-Grubber,钱眼儿
Sea Drake,海龙
Juza,重佐
Iron Ingot,铁块儿
Ziwei,紫微
Little Que'er,小雀儿
Vermeer,梵米尔
Xinghuo,星火
Echo,艾珂
Wanmin Restaurant,万民堂
Bubu Pharmacy,不卜庐
Wanwen Bookhouse,万文集舍
Yanshang Teahouse,岩上茶室
Liuli Pavilion,琉璃亭
Xinyue Kiosk,新月轩
Third-Round Knockout,三碗不过港
Heyu Tea House,和裕茶馆
Scent of Spring,春香窑
The Jade Mystery,解翠行
Mingxing Jewelry,明星斋
Baiju Guesthouse,白驹逆旅
Xigu Antiques,希古居
Wanyou Boutique,万有铺子
Wangshan Hall,王山厅
Rollon,罗洛
Anleifr,安莱夫
Bjorn,比约恩
Egle,伊捷莉
Olav,奥拉维
Vacarao,瓦加劳
Lantainen,兰塔宁
Solovei,索洛维
Alia,爱莉厄
Aedon,阿咚
Sugar Sculpture: Illuga,糖雕·叶洛亚
Fireside Merriment,篝火边的欢腾
Crispy Spring Rolls,香炸春卷
Lucky Snow Delight,穰穰瑞雪糕
Flavor of Spring,炸春鲜
Nightwatch Soup,夜守暖汤
The First Iron Coin,「最初的铁钱」
Lang-Gan,琅玕
Arrow of Terpikeranuas,德肋庇革劳诺之箭
Tower of Inversion,逆位之塔
Echoes of a Forsaken Song,放逐者的荒歌
Return to Sender,物归原主
When War Songs Rise,战歌吟唱时
Reverberation of Heroic Spirits,英灵的残响
Wind-Stirred Ripples,风起微澜
"The Last Night, the First Light",终至破晓
The Raven's Legacy,寒鸦的系谱
To Turn Each Sin Against the Sinner,以罪行惩戒罪人
Winter Icelea,冬凌草
Pine Amber,松珀香
Lightbearing Moonshard,朏魄含光
Lantern Rite,海灯节
Moonlit Patrol Exercise,月引周巡之述演
A Lanternlit Ode to the Silver Moon,奔霄颂玉轮
Vigorous Brushstrokes,笔腾墨跃
"Wishes Contended, Fortunes Won",如意斗彩
The Moonlit Adeptus's Trail,月映仙踪
The White Horse Adeptus Meets the White Horse Adeptus in Liyue Harbor,白马仙人在璃月港参观白马仙人
Pingxi,萍溪
Manmu,满目
Baofei,报菲
Wenji,闻冀
Guilan,桂澜
Lu Xiangxiang,卢香香
Lu Weng,卢翁
Lil' Li,阿力
Lil' Tian,阿甜
"Hot in a Flash, or Cold Just as Fast?",「瞬影」镜头! 瞬间遇冷?
The Doctor,博士
Flo,芙洛
Virda,薇尔妲
Laume,洛梅
Granna,嘉莱娜
Pahsiv,珀西芙
Hiljetta,海捷德
Alida,阿莉妲
Illki,伊尔基
Koski,考斯奇
Mahla,玛茜菈
Maika,玛伊佳
Oskari,奥什卡里
Janusz,雅努什
Alena,阿莱娜
Kuzmich,库济米奇
Ulyana,乌利亚娜
Inga,因嘉
Beryna,别蕾娜
Levonty,莱沃蒂
Radoslaw,拉杜什劳
Lauri,劳乌里
Ivar,伊瓦尔
Dragana,卓佳娜
Paivio,帕伊沃
Kofitse,科菲策
Gabieta,格维妲
Dzenana,泽纳娜
Malusha,玛柳莎
Lyubertsi,柳别尔齐
Hertta,赫尔妲
Wszebor,沃瑟博尔
Patolichev,帕托利切夫
Nikita,尼基塔
Winfried,温弗里德
Erminie,欧蜜涅
Anselm,安塞姆
Laurent,洛朗
Nannina,纳尼娜
Ekbert,艾克贝特
Leifhelm,莱夫赫姆
Donatas,杜纳塔斯
Read Miller,雷德·米勒
Avrelian,艾维雷勒安
Eternal Moon Goddess,恒月女神
Aria,艾莉亚
Canon,卡侬
Sonnet,桑娜妲
Moonchild's Treasures,月童的库藏
False Moon Institute,赝月的研究所
Knuckle Duckle,重拳出击鸭
Frostnight Herra,霜夜巡天灵主
Surging Currents: Frostnight Scion,涌流·霜夜灵嗣
Gilded Sunshard: Frostnight Scion,金礞·霜夜灵嗣
Fisher of Hidden Depths,深黯钓客
Lord of the Hidden Depths: Whisperer of Nightmares,深黯魇语之主
Crab Tsar,「蟹沙皇」
Hexadecatonic Mandragora,十六倍曼陀草
"""The Homesick Lone Wolf""",「望乡的孤狼
Sugar Sculpture: Kuuhenki,糖雕·月灵
Sugar Sculpture: Nefer,糖雕·奈芙尔
Sugar Sculpture: Jahoda,糖雕·雅珂达
Sugar Sculpture: Columbina,糖雕·哥伦比娅
Veggie Pot Soup,蔬菜罐罐汤
Mushroom Phantasm,蘑幻之菇
Berry Herbal Candy,花果草糖
Moonlit Mirage,皎月渺渺
Moon-Prayer Blossom From Columbina,哥伦比娅赠予你的祈月之花
Marionette's Notebook,「木偶」的笔记本
As Heaven and Earth Are Made Anew,复地重天
Melusent Gift,莘露的赠礼
Rainlit Bamboo Reverie,聆雨听竹
Violet Ibis,菫鹮
Blunthorn Rhino,钝角犀
Mandragora,曼陀草
Slothsheep,獭懒羊
Thornback Gecko,芒脊守宫
Pale-Furred Wolf,苍绒狼
Radiant Glacial Wolf,蕴光凛狼
Cinderneck Stork,灰颈鹳
Voidsea Outlook,虚海望
Piramida,皮拉米达城
Dreadshade Mire,噩影泽地
Meeting Point: The Witch's Garden,聚所·魔女的花园
Wavechaser Plain,逐浪野
Pillar of Embla,厄布拉神柱
Wing of Keres,凯雷丝之翼
Favonius Keep,西风戍垒
Cliffwatch Camp,望崖营壁
Armvartnir,安瓦蒂尼尔湖
Ashveil Peak,烟硌山峰
Kipumaki Cliff,苦壑崖
Special Territory Research Institute,特辖地研究所
A Traveler on a Winter's Night,如果在冬夜，一个旅人
True Moon,真实之月
A Toast Beneath the Moon,月下小酌
A Gift From the Sea Spirits,海精灵们的礼物
Prelude to the Night Vigil,夜巡的先声
Witch's Lodge,魔女的小屋
The Moonlit Watcher,月下的守望者
On This Intoxicating Night,在他们都喝醉的夜里
Nocturne's Curtain Call,帷间夜曲
Shutterflash Memory Hunt,瞬影旅集
Ninette,妮内特
Heroic Clash: Saurian Brawl,"飒勇争锋, 龙之劲斗"
A Surprise From a Fellow Comics Fan,来自漫画同好的惊喜
Greetings From the Knights of Favonius,来自骑士团的慰问
Asmoday,阿斯莫代
Ruler of Space,空之执政
Ley Line Sprout,地脉的新芽
Dead Ley Line Leaves,地脉的枯叶
Dead Ley Line Branch,地脉的旧枝
Octavia,欧科塔维亚
Patton,巴顿
Fietena,菲耶蒂娜
The Soulblazer Saga: Volume 2,炽魂斗士战记·第二册
The Empty Courtyard,无人的庭园
Soulblazers,特战队
Rainbow Serpent's Rain Bow,虹蛇的雨弦
Soulblazers' Snowbound Journey,炽魂斗士的雪界之旅
The Shining Warriors Take the Stage,闪亮的斗士们登场
Now's No Time for Tears,现在不是撒娇哭泣的时候
"Go, Fietena, Go!",冲! 冲! 菲耶蒂娜!
Snowrealm Visitors,雪界访客
A Gift From Yae Publishing House,来自八重堂的礼物
An Invitation From the Spark Knight,来自火花骑士的邀请
A Message From the Junior,来自「后辈」的分享
Snowtrace,雪白迷踪
Frontier Recon,前哨龙迹
Jade Pitching,飞玉趣掷
Trial of Valor,斗魂试炼
Tang Yigang,汤义刚
Bold Bang Bouldern,「邦邦滚石」
Minnie,明妮
Moritz,莫里茨
Sherilyn,雪琳
Sumire,堇葵
Gaumaru,咕咕丸
Masterless Starglitter,无主的星辉
Masterless Stella Fortuna,无主的命星
Onodera,小野寺
Zibai,兹白
White Horse Adeptus,白马仙人
Chang the Ninth,常九爷
Mr. Nine,九老师
"Anya ""Marie"" Andersdotter",安雅·「玛丽」·安德斯多特
Sebas,赛巴斯
Columbina Hyposelenia,哥伦比娅·希珀塞莱尼娅
Illuga,叶洛亚
Razmaspes,拉撒抹培
Gaoramus,高拉默
Xsayazantus,撒亚赞铎
Anastasya Feodorovna Snezhnaya,安娜丝塔夏·费奥多罗夫娜·雪奈茨娜娅
Zandik,赞迪克
Cyclic Military Kuuvahki Core,循环式军用月矩核心
Super-Heavy Landrover: Mechanized Fortress,超重型陆巡舰·机动战垒
Lohikeitto,奶油鲑鱼汤
Nod-Krai Hot Dog,挪德卡莱热狗
Drink 455,455特饮
Lakkaberry Pie,白灵果派
Apple Stew (Trial Version),苹果焖肉(初试版)
Secrets Exchanged,「秘闻交易」
"""After-Class Practice""",「课后作业」
The Little Witch's Dictionary,小魔女辞典
"Tale of ""Durin""",名为「杜林」的故事
Moon-Prayer Night Pamphlet,「祈月之夜」导览册
Greeting Card for Columbina,送给哥伦比娅的贺卡
Moon-Prayer Candy From Columbina,哥伦比娅准备的祈月糖
Ordered Notes,整理后的笔记
Sal Vindagnyr,沙尔·芬德尼尔
Hyperborea,亥珀波瑞亚
Dephi Pytho,德尔斐·皮托呢
A Nocturne of the Far North,终北的夜行诗
Melting Moonlight in the Morning Mist,散于晨雾的月芒
Witch's Homework,魔女的课业
Unexpected Commission,意料之外的委託
Tales of Time and Wind,时与风的故事
The Great Mage's Journey of Trials,大魔法师的试炼之旅
Old Friends and New Knowledge,旧识与新知
A Child Wandering the World,行于世间的孩子
A Dry Well Doth Not Reflect the Stars,枯井无法映星月
With Lupical...,和「卢皮卡」一起
"Alan Smithee, Author of Fischl",艾伦·史密西，菲谢尔的作者
The Law of Boundaries,界限的法则
Draco Rubedo Chapter,赤龙之章
Different Phantoms,虚影
Irminsul Tree,银白古樹
Athame Artis,黑蚀
The Daybreak Chronicles,黎明破晓之史
Finches Are Still the Cutest,团雀还会最可愛
Basima the Fifth,拜希麦·五世
Bing-Bang Finchball,哐哐当当雀雀球
Thoth,图特
Heryshaf,赫里沙夫
Sobek,索贝克
Taraneh,塔拉内
Radiant Antler,漫光的辉角
Bloodsoaked Ruins,血染荒城
Nightweaver's Looking Glass,纺夜天镜
Reliquary of Truth,真语秘匣
Ruins Exploration: Fieldwise Center,參究故墟·穏健知行
Mechanical Puzzle-Parsing Paradigm,机关破谜范式
Skillful Scouting,伙伴侦察妙法
Safe Engagement Training,安全接敌实训
Return From the Mysterious Realm,自谜域归
Headlong Into the Sands,向沙中去
Dance Dance Dynamic Disco,跃跃律动舞力聚会
Dance Exchanges - A Beautiful Start,「舞力交流」的开幕
Djer,捷勒
Uncle Scimitar,「弯刀大叔」
Irmin,伊尔明
Irminsul (Vinster King),伊尔明苏尔
Tholindis,索琳蒂丝
Thorkell,索凯尔
Orlog,乌洛
Vinster King,黑王
Frithr,芙蕾尔
Maalaus,梅拉
Radimir,拉季米尔
Fevroniya,费卢妮娅
Ozerov,奥泽洛夫
Sinuhe,辛努海
Uncle Anpu,安普叔
Manetho,梅涅托
Katayoun,卡塔扬
Arif,阿里夫
Nizar,尼泽尔
Wings of Companionship,守候之翼
Wings of Descension,降临之翼
Wings of Delicacies,肴馔之翼
Wings of Fate's Course Intertwined,命轨爻错之翼
Universitas Magistrorum,深秘院
A Nation That Doesn't Exist,不存在的国土
An Elegy for Faded Moonlight,回望湮灭的月光
Lightkeepers' Oath,执灯人誓言
May the Moonlight Connect Us,月光联系你我
The Artist By the Moon's Side (II),伴月的小画家·其二
Saurian Sojourn,龙龙同游
Komina,科米娜
Kweku,克维库
Assistant Instructor Yehyeh,「耶耶副教官」
Lightgleaner's Journey,旅途拾光集
Dodoco's Blow-Up-Erative Bomb-Nanza,嘟嘟可爆轰大乱斗
Rainbow's End: Silvery Flux,虹旅藏金·朔望流辉
Clink Clank Clash,叮铃哐啷大作战
Pursue and Strike! The Out-of-Control Flier,追击! 失控飞兵!
Boom! Blast! Power Test!,轰隆! 测试威力!
Seek and Find! Machines on the Fritz!,寻踪! 故障机器!
Quietly Now! Sneaky Sneaking Sneaks!,静音! 谋械潜行!
Misplaced Creativity,走失的创意
A Mysterious Outsourced Contract,外包的保密事项
An Adventurer's Woes,冒险家的烦恼
Backup Plans,备用法案
Unwritten Rules,暗处的规则
Clink Clank Legion,叮铃哐啷軍团
Krum-Clank 70 percent Sweet,铛铛七分甜
Zip-Zap Spy-Bot Number 1,㕲㕲㕲间谋1号
Ginette,茜涅特
Sarin,萨林
Gaudenty,格乌登提
Asikko,阿斯科
Sedile,瑟琪
Eustachy,尤斯塔奇
Ujola Cat,尤约拉猫
Rotor Hovering Daybed,旋翼浮空憩榻
Chard Lombro,阿莎莎·郎勃罗
Adina,阿德娜
Rijeka,莉洁卡
Hidimbi,希丁芭
Smoked Fish Steak,烟熏鱼排
Sugar Sculpture: Flins,糖雕·菲林斯
Long Night Alight,长夜燃火
Frosted Axehead Fish,冷冽巨斧鱼
Nightgaze Crystal-Eye,夜色明眼鱼
Memento Kamera,回忆捕手留影机
